# LLMO の介入ログ（2026-09-25 新設）。観測の増減を読むときに「その週に何をしたか」を突き合わせる。
# date … 実施日（JST）。空欄は日付が未確定。YYYY-MM-DD か、継続なら YYYY-MM-DD〜
# scope … 何に触れたか（外部=自社サイト外、サイト=cross-com.jp、プール46本=実験の統計対象）
# executor … 実施者。要確認 は埋めること
# touches_pool46 … 実験のプール46本の本文・構造化データに触れるか（yes / no / 要確認）
#   yes の介入は 2x2 の処置と混ざる。判定では介入の日を境に分けて読む
# I-04(sameAs)・I-05(meta改修)は 2026-09-25 に戦略管制塔から回答を得て埋めた。どちらも
#   プール46本の本文には触れない(サイト全体・メタのみ)。
# **このファイルは dashboard 側だけが書く(2026-09-25 以降)。** I-10 は seo-agent 側が
#   追加したものでそのまま残す。seo-agent 側で記録したいことは効果測定チャットに送る。
# I-09(9/15〜16 の逆リンク追記9本)はビフォー期間中にプール46本へ入った。
#   この9本のビフォー基準値は 9/17 以降の観測だけを使う(pool.LATE_BASELINE_FROM)
date,intervention_id,description,scope,executor,touches_pool46
2026-09-11,I-11,見出し型(A〜L)の全記事反映(公開50本・下書き28本。本文±100字程度。14:05〜18:22),編集禁止49本のうち48本,seo-agent,yes
2026-09-11〜14,I-12,9/15 より前のリンク増加(全件走査による。I-09 に含まれない分),統計46本のうち該当記事,seo-agent,yes
2026-09-15〜16,I-09,publish_followup による逆リンク追記(リンク1本＋約100字)（止めの実装 2026-09-18。9/17〜9/18 の追記なし）,統計46本のうち9本＋ピラー agentic-crm,seo-agent(自動),yes
2026-09-20,I-01,Wikidata に企業エントリを登録,外部(エンティティ),本田さん(手動),no
2026-09-21,I-02,外部データベースの情報更新を申請,外部(エンティティ),本田さん(手動),no
2026-09-22,I-08,E37(agentforce-coworker)の完全訂正(15:38・見出しとFAQに及ぶ),実験外(watch),seo-agent,no
2026-09-24,I-03,ランサーズのプロフィールを2軸化,外部(プロフィール),本田さん(手動),no
2026-09-20〜22,I-04,sameAs を6→7に追加(Yoast 組織設定・Organization スキーマ。全ページ共通),サイト全体,本田さん(手動),no
2026-09-15より前,I-05,タイトル・メタディスクリプション改修(9/15 以降の変更は0件。記録のみ),サイト(メタ),本田さん(手動),no
2026-09-25〜,I-06,Claudeforce 記事に D-39 等を適用(以後継続),サイト(記事),要確認,要確認
2026-09-29,I-07,2x2 の処置反映(リード・FAQ)と鮮度更新の訂正1件(agentforce-features),プール46本,seo-agent(publish_followup),yes
2026-09-25,I-10,D-39 結論要約ブロックを横展開の1本目(sales-back-office)へ適用(残り37本は9/29以降),サイト(記事),seo-agent,no
