slug,post_id,edited_at_jst,pool_class,edit_type,source,chars_delta,links_before,links_after,added_link_targets,removed_link_targets,title_changed,title_before,title_after,links_before_all,links_after_all,note
agentforce-sales-dependency,7133,2026-09-11T14:05:44+09:00,統計46,見出し反映,一括スクリプト,45,16,16,,,0,営業の属人化はなぜ解消しないのか？AIに判断の手順を引き継ぐ設計と進め方,営業の属人化はなぜ解消しないのか？AIに判断の手順を引き継ぐ設計と進め方,17,17,H2・H3 の文言が変わった（6本）
agentforce-proposal-review,7165,2026-09-11T14:11:48+09:00,統計46,見出し反映,一括スクリプト,50,10,10,,,0,提案のレビューはなぜ遅いのか？プロンプトの前に解く待ち行列の設計と手順,提案のレビューはなぜ遅いのか？プロンプトの前に解く待ち行列の設計と手順,10,10,H2・H3 の文言が変わった（6本）
agentforce-data-volume,7186,2026-09-11T14:12:10+09:00,統計46,見出し反映,一括スクリプト,49,10,10,,,0,CRMのデータ量が少ないとAgentforceは使えないのか？始める前に確かめる条件,CRMのデータ量が少ないとAgentforceは使えないのか？始める前に確かめる条件,12,12,H2・H3 の文言が変わった（6本）
agentforce-no-code-scope,7192,2026-09-11T14:12:31+09:00,統計46,見出し反映,一括スクリプト,46,10,10,,,0,Agentforceの設定に開発は要るのか？営業部門だけで持てる範囲の線引き,Agentforceの設定に開発は要るのか？営業部門だけで持てる範囲の線引き,11,11,H2・H3 の文言が変わった（6本）
agentforce-sales-meeting,7183,2026-09-11T14:12:53+09:00,統計46,見出し反映,一括スクリプト,58,10,10,,,0,営業会議が長いのは進め方の問題か？数字の確認を会議の外へ出す設計と手順,営業会議が長いのは進め方の問題か？数字の確認を会議の外へ出す設計と手順,10,10,H2・H3 の文言が変わった（6本）
agentforce-lost-deal-analysis,7153,2026-09-11T14:13:15+09:00,統計46,見出し反映,一括スクリプト,46,14,14,,,0,失注分析が次の受注につながらないのはなぜ？商談の途中で記録を残す設計と手順,失注分析が次の受注につながらないのはなぜ？商談の途中で記録を残す設計と手順,14,14,H2・H3 の文言が変わった（6本）
agentforce-subagents,7124,2026-09-11T14:13:38+09:00,統計46,見出し反映,一括スクリプト,34,20,20,,,0,Agentforceのサブエージェントはどう分ける？分割単位と指示文の線引き,Agentforceのサブエージェントはどう分ける？分割単位と指示文の線引き,23,23,H2・H3 の文言が変わった（6本）
agentforce-deal-notes,7215,2026-09-11T14:14:00+09:00,統計46,見出し反映,一括スクリプト,41,10,10,,,0,商談メモが読まれないのは書き方の問題か？読む3つの場面から項目を決める設計,商談メモが読まれないのは書き方の問題か？読む3つの場面から項目を決める設計,11,11,H2・H3 の文言が変わった（6本）
agentforce-sales-roleplay,7174,2026-09-11T14:14:21+09:00,統計46,見出し反映,一括スクリプト,52,10,10,,,0,営業ロープレはなぜ意味がないと言われるのか？練習する場面の選び方と設計,営業ロープレはなぜ意味がないと言われるのか？練習する場面の選び方と設計,10,10,H2・H3 の文言が変わった（6本）
agentforce-permission-set,7130,2026-09-11T14:36:20+09:00,統計46,見出し反映,一括スクリプト,-3,15,15,,,0,Agentforceの権限セットとは？AIエージェントに渡す範囲の決め方,Agentforceの権限セットとは？AIエージェントに渡す範囲の決め方,19,19,H2・H3 の文言が変わった（5本）
